repo,url,commit
fofa-java,https://github.com/0nise/fofa-java.git,54e7842111e1d1df137b08a4158c400e23d922e3
yibai-java-sdk,https://github.com/100sms/yibai-java-sdk.git,7c2b960cfb4e9424ddcb279f4a62f58d19fc7ade
httpselftest,https://github.com/1and1/httpselftest.git,c3d54a2222b22e44fef0b0e88b298d8bcb5d2f0b
snmpman,https://github.com/1and1/snmpman.git,ad514fbac17aaa0b627fd0370cb7179a42cd9a14
